NOMBRE,CATEGORÍA,MODELO,PROMPT,EJEMPLO DE USO,VERSIÓN
"Email de seguimiento tras propuesta B2B","Comunicación","Claude 3.5 Sonnet","Actúa como un Director Comercial experto en ventas B2B. Escribe un correo electrónico de seguimiento para el cliente [NOMBRE_CLIENTE] de la empresa [EMPRESA_CLIENTE], a quien enviamos una propuesta sobre [TIPO_PROPUESTA] el día [FECHA_ENVIO]. El objetivo es reactivar la conversación sin sonar impositivo, recordando el valor clave expresado en la reunión previa: [BENEFICIO_CLAVE]. Mantén un tono profesional y empático. Incluye un CTA claro para agendar una llamada de 15 minutos en [DISPONIBILIDAD_DÍAS].","Seguimiento a propuestas SaaS enviadas a directores IT tras una semana sin respuesta.","v1.2 (2026-07-31)"
"Respuesta diplomática a clientes insatisfechos","Comunicación","GPT-4o","Actúa como un Especialista en Atención al Cliente. Redacta una respuesta a un cliente llamado [NOMBRE_CLIENTE] que ha expresado insatisfacción por [PROBLEMA_REPORTADO] en [NOMBRE_PRODUCTO]. Estructura: 1. Empatía sincera 2. Explicación breve 3. Solución inmediata: [SOLUCION_OFERTADA] 4. Compensación: [COMPENSACION] 5. Cierre profesional.","Gestión de quejas tras retrasos de entrega en servicios de suscripción.","v1.0 (2026-07-31)"
"Guión de presentación ejecutiva de proyecto","Comunicación","Claude 3.5 Sonnet","Eres un Consultor de Estrategia Ejecutivo. Diseña la estructura de diapositivas y el guión verbal para una presentación de [DURACION_MINUTOS] minutos dirigida a [AUDIENCIA_OBJETIVO] para presentar el proyecto [NOMBRE_PROYECTO]. Proporciona título, idea clave, bullets visuales y script verbal para resaltar [OBJETIVO_PRINCIPAL].","Pitch deck interno para solicitar presupuesto de innovación ante el comité.","v1.1 (2026-07-31)"
"Matriz DAFO / SWOT cruzada con plan de acción","Análisis","GPT-4o / Claude 3.5","Actúa como un Analista de Estrategia Empresarial Senior. Realiza un análisis DAFO exhaustivo para el negocio [NOMBRE_NEGOCIO] en el sector [SECTOR] según el contexto: [CONTEXTO_Y_DATOS]. Devuelve: 1. Tabla DAFO con al menos 4 puntos por cuadrante 2. Matriz CAME vinculada 3. Tres iniciativas estratégicas prioritarias por impacto/factibilidad.","Evaluación estratégica previa al lanzamiento de un nuevo producto e-commerce.","v2.0 (2026-07-31)"
"Resumen ejecutivo estructurado de informe técnico","Análisis","Claude 3.5 Sonnet","Eres un Editor Ejecutivo. Lee el informe sobre [TEMA_INFORME]: [TEXTO_DEL_INFORME] y genera un Resumen Ejecutivo estructurado para la alta dirección. Estructura: 1. Elevator pitch de 3 líneas 2. 5 Conclusiones clave (Key Findings) 3. Riesgos identificados y severidad 4. Recomendación inmediata.","Condensación de informe de auditoría de ciberseguridad de 40 páginas para el CEO.","v1.0 (2026-07-31)"
"Investigación de mercado y benchmark de competidores","Análisis","Gemini 1.5 Pro","Actúa como un Investigador de Mercado Senior. Realiza un análisis comparativo y benchmark entre nuestra solución [NUESTRA_SOLUCION] y los competidores: [LISTA_COMPETIDORES]. Analiza: 1. Propuesta de valor 2. Precios 3. Público objetivo 4. Ventaja competitiva (Moat) 5. Quejas de usuarios. Incluye oportunidades no explotadas.","Estudio de competencia para app móvil de gestión de finanzas personales.","v1.1 (2026-07-31)"
"Generador de mapas conceptuales y esquemas en Mermaid","Estudio","GPT-4o","Actúa como Pedagogo. Toma el tema [TEMA_DE_ESTUDIO] y genera un esquema conceptual claro. Salida: 1. Resumen jerárquico por niveles con conectores 2. Código válido mermaid (graph TD) 3. Explicación lógica de los 3 nodos más importantes. Nivel: [NIVEL_DETALLE].","Estudio de arquitectura de sistemas distribuidos para exámenes de ingeniería.","v1.3 (2026-07-31)"
"Test de autoevaluación interactivo con explicación","Estudio","Claude 3.5 Sonnet","Eres un Tutor Académico. Genera un test de [NUMERO_PREGUNTAS] preguntas de opción múltiple (A,B,C,D) sobre: [MATERIA_O_TEXTO]. Incluye 4 opciones por pregunta y al final la clave de respuestas correctas con explicación pedagógica detallada de por qué la opción es correcta y por qué fallan las demás.","Repaso interactivo previo a examen parcial de Derecho Mercantil.","v1.0 (2026-07-31)"
"Generador de Flashcards optimizadas para Anki","Estudio","GPT-4o","Actúa como Experto en Repetición Espaciada. Genera [CANTIDAD] flashcards sobre [MATERIA] en formato Anki (Anverso;Reverso). Anverso: Pregunta atómica sin ambigüedad. Reverso: Respuesta concisa con concepto clave en negrita. Aplica el principio de atomicidad.","Creación de tarjetas para memorizar conceptos de certificación Cloud AWS.","v1.2 (2026-07-31)"
"Copywriting AIDA / PAS para campañas digitales","Creación","GPT-4o","Actúa como Copywriter Publicitario. Crea 3 variaciones de anuncios para [PRODUCTO_O_SERVICIO] dirigido a [PÚBLICO_OBJETIVO]: Var 1 (AIDA), Var 2 (PAS), Var 3 (BAB). Incluye titular gancho, cuerpo adaptado a [CANAL] y CTA claro.","Copy para anuncios en LinkedIn Ads promoviendo formación ejecutiva.","v1.4 (2026-07-31)"
"Generador de Naming y propuesta de identidad de marca","Creación","Claude 3.5 Sonnet","Eres un Especialista en Naming. Genera 10 nombres comerciales para una marca de [DESCRIPCION_PRODUCTO] con valores [VALORES_MARCA]. Clasifica en 4 categorías: Descriptivos, Neologismos, Metafóricos, Abstractos. Incluye nombre, significado, disponibilidad conceptual y tono.","Creación de nombre comercial para marca de cosmética natural ecológica.","v1.0 (2026-07-31)"
"Guión para vídeo corto (Reels/TikTok/Shorts) con Storytelling","Creación","GPT-4o","Actúa como Creador de Contenido Viral. Redacta un guión de [DURACION_SEGUNDOS] segundos sobre [TEMA_DEL_VIDEO]. Estructura en 3 columnas: Tiempo, Visual & Texto en pantalla, Audio & Voz en off. Hook disruptivo en primeros 3 segundos y CTA: [ACCION_DESEADA].","Reel explicativo de 45 segundos sobre consejos de productividad laboral.","v1.1 (2026-07-31)"
"Extractor de datos no estructurados a JSON estricto","Datos","GPT-4o / Claude 3.5","Actúa como API de extracción ETL. Analiza el texto: [TEXTO_FUENTES_DATOS] y extrae la información en JSON estricto con el esquema: entidades [{nombre, categoria, metricas:{valor, unidad}, observaciones}] y fecha_procesamiento. Devuelve ÚNICAMENTE el JSON.","Extracción automatizada de facturas e informes en formato de texto libre.","v2.1 (2026-07-31)"
"Analista de datasets CSV con detección de patrones","Datos","Gemini 1.5 Pro","Actúa como Científico de Datos. Analiza el CSV de [DESCRIPCION_DATASET]: [DATOS_CSV]. Tareas: 1. Resumen estadístico descriptivo 2. Anomalías o nulos 3. 3 insights no evidentes 4. 2 hipótesis explicativas 5. Recomendación para modelado predictivo.","Análisis de registros de ventas trimestrales para detectar churn de clientes.","v1.0 (2026-07-31)"
"Meta-Prompt: Generador y optimizador de prompts","Sistema","Claude 3.5 Sonnet","Eres un Meta-Prompt Architect. Construye un prompt de alto rendimiento para: [TAREA_DESEADA]. Aplica: Rol experto, Contexto, Instrucciones paso a paso, Parametrización con [VARIABLES], Formato estructurado y Restricciones. Muestra el prompt en bloque de código con resumen explicativo.","Optimización de instrucciones para asistentes virtuales de soporte interno.","v2.0 (2026-07-31)"
"Evaluador de Prompts Permanente R-C-T-F-R-E (SIDE QUEST)","Sistema","GPT-4o / Claude 3.5","Actúa como Auditor de Prompts. Evalúa el prompt: [PROMPT_A_EVALUAR] usando el marco R-C-T-F-R-E (Rol 1.5, Contexto 2.0, Tarea 2.5, Formato 1.5, Restricciones 1.5, Ejemplo 1.0). Salida: Tabla desglosada con notas, Nota Final /10, Veredicto, 3 Recomendaciones y Prompt Reescrito Optimizado.","Auditoría permanente de calidad de la biblioteca de prompts del curso.","v1.0 (2026-07-31)"
